Timestamp,Age,Primary streaming service,Hours per day,Fav genre,BPM,Anxiety,Depression,Insomnia,OCD,Music effects
8/27/2022 19:29:02,18.0,Spotify,3.0,Latin,156.0,3.0,0.0,1.0,0.0,
8/27/2022 19:57:31,63.0,Pandora,1.5,Rock,119.0,7.0,2.0,2.0,1.0,
8/27/2022 21:28:18,18.0,Spotify,4.0,Video game music,132.0,7.0,7.0,10.0,2.0,No effect
8/27/2022 21:40:40,61.0,YouTube Music,2.5,Jazz,84.0,9.0,7.0,3.0,3.0,Improve
8/27/2022 21:54:47,18.0,Spotify,4.0,R&B,107.0,7.0,2.0,5.0,9.0,Improve
8/27/2022 21:56:50,18.0,Spotify,5.0,Jazz,86.0,8.0,8.0,7.0,7.0,Improve
8/27/2022 22:00:29,18.0,YouTube Music,3.0,Video game music,66.0,4.0,8.0,6.0,0.0,Improve
8/27/2022 22:18:59,21.0,Spotify,1.0,K pop,95.0,5.0,3.0,5.0,3.0,Improve
8/27/2022 22:33:05,19.0,Spotify,6.0,Rock,94.0,2.0,0.0,0.0,0.0,Improve
8/27/2022 22:44:03,18.0,I do not use a streaming service.,1.0,R&B,155.0,2.0,2.0,5.0,1.0,Improve
8/27/2022 22:51:15,18.0,Spotify,3.0,Country,,7.0,7.0,4.0,7.0,No effect
8/27/2022 23:00:32,19.0,YouTube Music,8.0,EDM,125.0,1.0,0.0,0.0,1.0,Improve
8/27/2022 23:04:00,,Spotify,3.0,Hip hop,,9.0,3.0,2.0,7.0,Improve
8/27/2022 23:12:03,19.0,Spotify,2.0,Country,88.0,2.0,1.0,2.0,0.0,Improve
8/27/2022 23:16:06,18.0,Spotify,4.0,Jazz,148.0,6.0,4.0,7.0,0.0,Improve
8/27/2022 23:19:52,17.0,Spotify,2.0,Pop,,7.0,5.0,4.0,1.0,Worsen
8/27/2022 23:39:41,16.0,Spotify,8.0,Hip hop,103.0,8.0,8.0,4.0,3.0,Improve
8/27/2022 23:39:49,16.0,Spotify,12.0,Hip hop,120.0,5.0,7.0,10.0,0.0,Improve
8/27/2022 23:40:55,17.0,Spotify,24.0,Rap,99.0,7.0,5.0,0.0,3.0,Improve
8/27/2022 23:41:36,15.0,Spotify,3.0,Hip hop,120.0,7.0,3.0,0.0,2.0,Improve
8/27/2022 23:43:06,15.0,Apple Music,8.0,Hip hop,120.0,6.0,9.0,3.0,0.0,Improve
8/28/2022 0:28:02,17.0,Spotify,4.0,Rap,125.0,10.0,10.0,2.0,4.0,Improve
8/28/2022 1:39:02,19.0,I do not use a streaming service.,5.0,R&B,118.0,6.0,7.0,5.0,4.0,Improve
8/28/2022 3:19:08,18.0,Spotify,2.0,Pop,79.0,3.0,3.0,8.0,6.0,No effect
8/28/2022 4:13:11,16.0,Other streaming service,3.0,Rock,84.0,10.0,6.0,8.0,10.0,Improve
8/28/2022 4:38:14,18.0,Spotify,2.0,Pop,169.0,7.0,4.0,2.0,5.0,Improve
8/28/2022 4:40:36,14.0,Spotify,12.0,Rock,136.0,8.0,6.0,10.0,5.0,Improve
8/28/2022 5:05:51,18.0,YouTube Music,6.0,Pop,101.0,3.0,2.0,1.0,2.0,Improve
8/28/2022 5:16:30,17.0,Spotify,2.0,Pop,126.0,6.0,6.0,4.0,5.0,Improve
8/28/2022 8:36:27,17.0,Apple Music,1.0,Pop,183.0,8.0,2.0,1.0,5.0,Improve
8/28/2022 10:30:22,20.0,Apple Music,5.0,Rock,,7.0,7.0,2.0,0.0,Improve
8/28/2022 10:38:05,19.0,Spotify,2.0,Classical,120.0,4.0,4.0,4.0,3.0,No effect
8/28/2022 10:54:30,19.0,Spotify,6.0,Metal,,9.0,8.0,2.0,3.0,Improve
8/28/2022 10:59:53,17.0,Spotify,4.0,Rock,142.0,5.0,6.0,6.0,1.0,Improve
8/28/2022 11:08:51,16.0,Spotify,1.0,Classical,75.0,0.0,0.0,0.0,0.0,No effect
8/28/2022 11:13:25,18.0,Spotify,5.0,Pop,120.0,3.0,2.0,1.0,1.0,Improve
8/28/2022 11:25:49,21.0,Spotify,4.0,Pop,89.0,6.0,8.0,0.0,2.0,Improve
8/28/2022 11:27:15,17.0,Other streaming service,3.0,Pop,,2.0,0.0,4.0,0.0,No effect
8/28/2022 11:36:35,26.0,Other streaming service,0.5,Rock,140.0,9.0,8.0,1.0,0.0,No effect
8/28/2022 11:39:21,20.0,Spotify,4.0,EDM,161.0,7.0,2.0,8.0,6.0,Improve
8/28/2022 11:50:31,23.0,YouTube Music,2.0,Video game music,80.0,4.0,2.0,3.0,4.0,Improve
8/28/2022 11:54:45,18.0,Spotify,5.0,Rock,130.0,7.0,6.0,5.0,0.0,Improve
8/28/2022 11:55:54,37.0,YouTube Music,0.25,Video game music,147.0,3.0,2.0,10.0,0.0,No effect
8/28/2022 11:58:48,17.0,Spotify,3.0,Classical,120.0,6.0,6.0,8.0,2.0,Improve
8/28/2022 12:08:29,18.0,Spotify,4.0,Metal,77.0,1.0,0.0,8.0,2.0,No effect
8/28/2022 12:12:35,17.0,I do not use a streaming service.,1.0,Folk,118.0,7.0,3.0,1.0,5.0,Improve
8/28/2022 12:15:02,36.0,Spotify,1.0,Classical,132.0,8.0,9.0,3.0,0.0,No effect
8/28/2022 12:23:52,24.0,Spotify,3.0,Rock,115.0,9.0,6.0,4.0,3.0,Improve
8/28/2022 12:30:08,18.0,Spotify,5.0,Metal,157.0,7.0,9.0,5.0,0.0,Improve
8/28/2022 12:32:09,19.0,Spotify,3.0,Pop,90.0,7.0,4.0,2.0,4.0,No effect
8/28/2022 12:37:17,17.0,Apple Music,2.0,EDM,128.0,0.0,0.0,0.0,0.0,Improve
8/28/2022 12:39:49,16.0,Spotify,6.0,K pop,169.0,7.0,8.0,7.0,5.0,Improve
8/28/2022 12:52:19,23.0,Apple Music,1.0,Rap,140.0,10.0,6.0,3.0,10.0,No effect
8/28/2022 12:53:01,23.0,Spotify,12.0,Pop,96.0,3.0,7.0,5.0,5.0,No effect
8/28/2022 12:54:35,22.0,Spotify,4.0,Rock,126.0,8.0,7.0,4.0,3.0,Improve
8/28/2022 13:01:42,16.0,Apple Music,2.0,Classical,,0.0,0.0,1.0,3.0,Improve
8/28/2022 13:05:46,18.0,Spotify,6.0,Rock,91.0,8.0,6.0,2.0,10.0,No effect
8/28/2022 13:08:24,42.0,I do not use a streaming service.,0.0,Rock,,9.0,0.0,10.0,0.0,No effect
8/28/2022 13:09:53,23.0,Spotify,7.0,Folk,55.0,6.0,4.0,2.0,3.0,Improve
8/28/2022 13:18:19,23.0,I do not use a streaming service.,1.0,Video game music,85.0,7.0,0.0,0.0,2.0,Improve
8/28/2022 13:22:36,19.0,YouTube Music,1.0,K pop,160.0,10.0,1.0,0.0,0.0,Improve
8/28/2022 13:22:53,22.0,Pandora,1.0,Rock,108.0,8.0,7.0,0.0,5.0,Improve
8/28/2022 13:34:00,15.0,Other streaming service,2.0,Rock,156.0,3.0,2.0,6.0,7.0,Improve
8/28/2022 13:34:27,25.0,Spotify,2.0,Metal,170.0,5.0,5.0,3.0,1.0,No effect
8/28/2022 13:42:20,32.0,Spotify,5.0,Rock,91.0,10.0,10.0,3.0,1.0,Worsen
8/28/2022 13:43:06,36.0,Spotify,6.0,Metal,174.0,5.0,4.0,10.0,2.0,Improve
8/28/2022 13:46:03,24.0,Spotify,3.0,Rock,130.0,0.0,0.0,8.0,0.0,No effect
8/28/2022 13:48:11,29.0,Spotify,4.0,Hip hop,140.0,8.0,8.0,5.0,10.0,Improve
8/28/2022 13:55:45,41.0,Apple Music,3.0,Metal,130.0,10.0,7.0,8.0,0.0,Improve
8/28/2022 13:57:47,36.0,I do not use a streaming service.,2.0,Rock,127.0,7.0,3.0,1.0,1.0,Improve
8/28/2022 13:59:16,19.0,YouTube Music,3.0,Rock,160.0,8.0,7.0,4.0,0.0,Improve
8/28/2022 14:00:18,31.0,Spotify,2.0,Rock,,10.0,2.0,0.0,5.0,No effect
8/28/2022 14:01:08,16.0,Spotify,4.0,Rock,,9.0,8.0,1.0,2.0,Improve
8/28/2022 14:02:12,26.0,Spotify,2.0,Hip hop,165.0,6.0,3.0,1.0,1.0,Improve
8/28/2022 14:04:09,22.0,Apple Music,0.5,Hip hop,113.0,7.0,7.0,0.0,1.0,No effect
8/28/2022 14:04:20,16.0,Spotify,5.0,Jazz,167.0,7.0,7.0,8.0,4.0,Improve
8/28/2022 14:07:29,17.0,Spotify,5.0,Metal,95.0,4.0,1.0,0.0,0.0,Improve
8/28/2022 14:08:57,19.0,Spotify,10.0,R&B,110.0,7.0,2.0,1.0,5.0,Improve
8/28/2022 14:10:04,18.0,YouTube Music,2.0,EDM,150.0,9.0,0.0,5.0,10.0,Improve
8/28/2022 14:10:17,18.0,YouTube Music,4.0,Hip hop,93.0,2.0,7.0,1.0,1.0,Improve
8/28/2022 14:12:55,19.0,Spotify,5.0,Rock,90.0,10.0,8.0,7.0,0.0,Improve
8/28/2022 14:14:48,19.0,Spotify,3.0,Jazz,118.0,3.0,0.0,0.0,0.0,Improve
8/28/2022 14:18:22,22.0,Spotify,2.0,K pop,126.0,7.0,8.0,5.0,1.0,No effect
8/28/2022 14:24:10,16.0,Spotify,2.5,Rock,103.0,2.0,1.0,0.0,0.0,Improve
8/28/2022 14:25:08,19.0,Spotify,3.0,R&B,77.0,5.0,4.0,0.0,1.0,Improve
